Sahip,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%
ENİS BADIŞOĞLU,1845.0,108.0,124.0,120.0,169.0,198.0,6.0,7.0,7.0,9.0,11.0
ERSAN ÜLDES,695.0,107.0,78.0,91.0,64.0,73.0,15.0,11.0,13.0,9.0,11.0
NEVZAT SEYOK,807.0,107.0,117.0,110.0,84.0,64.0,13.0,14.0,14.0,10.0,8.0
İSMAİL SANCAR,903.0,107.0,86.0,93.0,93.0,99.0,12.0,10.0,10.0,10.0,11.0
A.LAMİ KARAÇİZMELİ,775.0,106.0,79.0,96.0,67.0,73.0,14.0,10.0,12.0,9.0,9.0
AHMET KORKMAZ,823.0,106.0,94.0,89.0,67.0,69.0,13.0,11.0,11.0,8.0,8.0
M.DORUK YILMAZ,871.0,106.0,98.0,98.0,83.0,80.0,12.0,11.0,11.0,10.0,9.0
KAMİL KILINÇ,738.0,105.0,82.0,89.0,79.0,65.0,14.0,11.0,12.0,11.0,9.0
ÜMİT BEKMEZCİ,796.0,105.0,88.0,90.0,82.0,82.0,13.0,11.0,11.0,10.0,10.0
METİN TURGUT,741.0,104.0,103.0,81.0,89.0,49.0,14.0,14.0,11.0,12.0,7.0
RECEP AVŞAR,825.0,104.0,112.0,100.0,80.0,82.0,13.0,14.0,12.0,10.0,10.0
REYHAN ŞEKER,851.0,104.0,94.0,83.0,78.0,89.0,12.0,11.0,10.0,9.0,10.0
MUHİTTİN ACAR,1069.0,104.0,113.0,107.0,97.0,91.0,10.0,11.0,10.0,9.0,9.0
MEHMET ÇELİK,1400.0,104.0,117.0,106.0,83.0,111.0,7.0,8.0,8.0,6.0,8.0
SELİN DİKENCİK,1938.0,104.0,150.0,169.0,193.0,201.0,5.0,8.0,9.0,10.0,10.0
M.KAYA ERKKUL,782.0,103.0,113.0,100.0,98.0,89.0,13.0,14.0,13.0,13.0,11.0
ERDİNÇ SALTABAŞ,1067.0,103.0,97.0,99.0,88.0,100.0,10.0,9.0,9.0,8.0,9.0
RAMAZAN KAYALIK,1343.0,103.0,128.0,114.0,133.0,131.0,8.0,10.0,8.0,10.0,10.0
ALFRED ROİDİ,685.0,102.0,78.0,74.0,75.0,64.0,15.0,11.0,11.0,11.0,9.0
FİKRET KAYA,568.0,100.0,81.0,53.0,70.0,64.0,18.0,14.0,9.0,12.0,11.0
SANEM KAHRAMAN,674.0,100.0,77.0,74.0,78.0,63.0,15.0,11.0,11.0,12.0,9.0
HAMDİ ÖZŞAHİN,1121.0,100.0,127.0,129.0,125.0,130.0,9.0,11.0,12.0,11.0,12.0
MEHMET ALTUNBAŞ,851.0,99.0,74.0,85.0,97.0,75.0,12.0,9.0,10.0,11.0,9.0
CENGİZ TULUY,1223.0,99.0,97.0,104.0,111.0,115.0,8.0,8.0,9.0,9.0,9.0
HİKMET KIZILCA,341.0,98.0,62.0,40.0,36.0,30.0,29.0,18.0,12.0,11.0,9.0
MUSTAFA BERBEROĞLU,675.0,98.0,111.0,84.0,61.0,59.0,15.0,16.0,12.0,9.0,9.0
HASAN ŞER,776.0,98.0,99.0,90.0,74.0,81.0,13.0,13.0,12.0,10.0,10.0
SIDIKA ŞAHİN,849.0,98.0,94.0,102.0,74.0,85.0,12.0,11.0,12.0,9.0,10.0
SEVİLAY TANİYİT,854.0,98.0,106.0,99.0,103.0,70.0,11.0,12.0,12.0,12.0,8.0
ALİ SÜLÜN,1130.0,98.0,114.0,141.0,141.0,118.0,9.0,10.0,12.0,12.0,10.0
BARIŞ DURDAĞ,1108.0,98.0,128.0,146.0,114.0,123.0,9.0,12.0,13.0,10.0,11.0
ENGİN BEKİROĞULLARI,506.0,97.0,69.0,64.0,52.0,55.0,19.0,14.0,13.0,10.0,11.0
MEHMET KARAKEÇİ,708.0,97.0,59.0,63.0,68.0,67.0,14.0,8.0,9.0,10.0,9.0
FARUK TINAZ,878.0,97.0,85.0,75.0,84.0,78.0,11.0,10.0,9.0,10.0,9.0
SABRİ AKSU,522.0,96.0,55.0,89.0,65.0,55.0,18.0,11.0,17.0,12.0,11.0
AHMET ŞİFAN,654.0,96.0,73.0,70.0,42.0,46.0,15.0,11.0,11.0,6.0,7.0
HÜSNÜ AYIK,736.0,96.0,73.0,75.0,64.0,65.0,13.0,10.0,10.0,9.0,9.0
AHMET KAVRAN,851.0,96.0,97.0,93.0,79.0,86.0,11.0,11.0,11.0,9.0,10.0
CENGİZ DENİZ,866.0,96.0,91.0,92.0,111.0,78.0,11.0,11.0,11.0,13.0,9.0
ADNAN DOĞAN,1000.0,95.0,77.0,92.0,107.0,99.0,10.0,8.0,9.0,11.0,10.0
ŞEVKİ EREN,998.0,95.0,107.0,110.0,100.0,101.0,10.0,11.0,11.0,10.0,10.0
İBRAHİM ÇELİK,1201.0,95.0,110.0,106.0,117.0,130.0,8.0,9.0,9.0,10.0,11.0
BÜLENT DEMİR,660.0,94.0,81.0,77.0,70.0,66.0,14.0,12.0,12.0,11.0,10.0
RAİF KARABULUT,817.0,94.0,88.0,89.0,68.0,68.0,12.0,11.0,11.0,8.0,8.0
FAHRİ İŞİNİBİLİR,946.0,94.0,101.0,103.0,105.0,95.0,10.0,11.0,11.0,11.0,10.0
ALİ ERKAN YILMAZ,664.0,93.0,86.0,62.0,63.0,62.0,14.0,13.0,9.0,9.0,9.0
A.ENGİN GICIR,963.0,93.0,88.0,79.0,102.0,94.0,10.0,9.0,8.0,11.0,10.0
ENGİN ATEŞLER,472.0,92.0,69.0,65.0,52.0,46.0,19.0,15.0,14.0,11.0,10.0
ÖMER HALİM AYDIN,810.0,92.0,92.0,75.0,76.0,79.0,11.0,11.0,9.0,9.0,10.0
ALİ ŞAHİN,773.0,91.0,87.0,83.0,82.0,80.0,12.0,11.0,11.0,11.0,10.0
MEHMET ÇELİK,734.0,91.0,107.0,99.0,96.0,75.0,12.0,15.0,13.0,13.0,10.0
FARUK ATEŞ,901.0,91.0,108.0,99.0,77.0,87.0,10.0,12.0,11.0,9.0,10.0
OZAN TANİYİT,981.0,91.0,101.0,106.0,96.0,99.0,9.0,10.0,11.0,10.0,10.0
MEHMET ÖĞÜT*,1103.0,91.0,101.0,113.0,106.0,105.0,8.0,9.0,10.0,10.0,10.0
ACAR YILDIRIM,524.0,90.0,66.0,63.0,56.0,41.0,17.0,13.0,12.0,11.0,8.0
