Aygır,Ülke Adı,Irk Adı,Koşan Tay Adet,Kazanan Yavru Adet,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Kazanç
BERK.7,TÜRKİYE,Arap,47.0,35.0,2220.0,251.0,318.0,261.0,289.0,231.0,11.0,14.0,12.0,13.0,10.0,",00"
KILIÇASLAN,TÜRKİYE,İngiliz,72.0,53.0,2038.0,250.0,270.0,315.0,259.0,226.0,12.0,13.0,15.0,13.0,11.0,"1.741,00"
EL CORREDOR,ABD,İngiliz,130.0,71.0,2432.0,250.0,259.0,248.0,285.0,269.0,10.0,11.0,10.0,12.0,11.0,"39.529.568,50"
SAVATLI,TÜRKİYE,Arap,52.0,44.0,2925.0,250.0,268.0,284.0,323.0,310.0,9.0,9.0,10.0,11.0,11.0,"4.201.193,50"
"Daha Fazla Sonuç Göster
                        
 
                        Toplam 3553 sonuçtan 150 tanesi gösteriliyor
                    
Başa Dön


                 
            


                    Yükleniyor...",,,,,,,,,,,,,,,,
DEMİRKAZIK,TÜRKİYE,Arap,125.0,72.0,2187.0,249.0,186.0,222.0,191.0,219.0,11.0,9.0,10.0,9.0,10.0,"20.010.107,50"
BÜYÜKADA,TÜRKİYE,Arap,49.0,36.0,2952.0,249.0,293.0,302.0,317.0,284.0,8.0,10.0,10.0,11.0,10.0,"416.705,50"
SERVET.2,TÜRKİYE,Arap,34.0,28.0,1777.0,248.0,243.0,225.0,237.0,196.0,14.0,14.0,13.0,13.0,11.0,",00"
WOLF,ŞİLİ,İngiliz,66.0,55.0,2293.0,248.0,200.0,242.0,204.0,236.0,11.0,9.0,11.0,9.0,10.0,"9.426.746,00"
BABA MEVLÜT,TÜRKİYE,Arap,144.0,82.0,2439.0,248.0,198.0,251.0,236.0,279.0,10.0,8.0,10.0,10.0,11.0,"76.803.869,38"
ANADOLU ATEŞİ,TÜRKİYE,Arap,108.0,62.0,2892.0,247.0,280.0,279.0,276.0,268.0,9.0,10.0,10.0,10.0,9.0,"13.449.643,75"
SA'D.23,TÜRKİYE,Arap,39.0,33.0,2362.0,245.0,249.0,233.0,227.0,215.0,10.0,11.0,10.0,10.0,9.0,"799.155,00"
FANTASTIC FELLOW,ABD,İngiliz,168.0,83.0,3267.0,242.0,298.0,285.0,301.0,292.0,7.0,9.0,9.0,9.0,9.0,"9.853.518,75"
